id,tagline,tags,suitable_tags,risk_tags
sh-abyss,"鼠鼠们的地下狂欢","地下｜Hard Techno｜锐舞｜强舞池｜体力局","锐舞玩家｜硬核电子｜能跳整晚","闷热｜拥挤｜热门票易售罄"
sh-kan,"嘻哈小厅，抓手指比蹦迪更忙","Hip-hop｜小厅｜抓手指｜近距离｜社交局","嘻哈党｜抓手指｜近距离互动","不适合纯蹦｜规则待确认"
sh-orii,"K-pop 弹簧舞池，热单一出蹦就完了","K-pop｜弹簧舞池｜熟歌｜年轻｜好入门","K-pop党｜熟歌党｜社交蹦迪","高峰拥挤｜空间紧凑"
sh-max,"大场灯光、卡座社交，穿搭别敷衍","EDM｜大场｜卡座｜嘉宾DJ｜穿搭","大场党｜嘉宾党｜卡座社交","预算偏高｜规则多｜高峰人多"
sh-404,"小场大社交，随机匹配局","Micro Club｜电子｜主题夜｜年轻｜互动","小场互动｜主题派对｜年轻社交","地址待确认｜拥挤｜评价分化"
sh-ins,"一栋楼承包整晚，选错楼层像进错副本","夜生活综合体｜多楼层｜多曲风｜可换场｜新手探索","第一次探店｜多人同行｜想换场","人多｜动线复杂｜容易选错楼层"
sh-ins-hush,"说唱浓度拉满，人挤但歌够新","Hip-hop｜Trap｜R&B｜拥挤｜高能","说唱党｜新歌党｜高能舞池","高峰拥挤｜空间密"
sh-ins-radi,"畅饮加商业电子，学生党的高能夜","EDM｜Tech House｜畅饮｜视觉｜年轻","商业电子｜畅饮｜视觉派对","舞池偏小｜曲风看阵容｜拥挤"
sh-ins-culture,"K-pop 和 Pop 的自由舞池，边界感是入场券","LGBTQ+友好｜K-pop｜Pop｜自由舞池｜包容","K-pop党｜自由跳舞｜Queer友好","需尊重边界｜曲风随主题变化"
sh-ins-friends,"没有 VIP 主角位，舞池里人人是朋友","无VIP｜大舞池｜畅饮｜群体互动｜自由跳","纯蹦｜朋友同行｜不爱卡座","没地方久坐｜曲风不固定"
sh-ins-lafin,"红灯、卡座、Top 40：精致社交局","Top 40｜Hip-hop｜卡座｜高端商业｜社交","有预算｜精致社交｜卡座局","低消待确认｜舞池感较弱｜入场规则"
sh-ins-oasis,"不只蹦迪，更像掉进一场数字艺术派对","沉浸式｜数字视觉｜主题活动｜拍照｜非传统夜店","视觉体验｜主题打卡｜活动党","玩法不固定｜营业形态待确认"
hz-nonoboom,"卡座组局浓度高，舞池只是其中一环","商业派对｜EDM待确认｜组局｜卡座｜营销多","组局｜商业派对｜卡座社交","营销多｜营业状态待确认"
hz-bpm,"杭州嘻哈小厅：开圈快，社交也快","Hip-hop｜小厅｜开圈｜组局｜年轻","嘻哈党｜小厅蹦迪｜开圈","营销多｜消费口径不一｜卡颜争议"
hz-nono-lai-fu,"没有椅子的体力局，站着跳到散场","无座｜大舞池｜嘉宾｜大学生｜体力局","纯蹦｜大学生｜嘉宾演出","烟味｜拥挤｜久站"
hz-798,"短视频热歌现场版，刷到的脸可能就在隔壁","热歌｜K-pop｜说唱｜网红｜打卡社交","热歌党｜网红打卡｜线上社交","营销感强｜价格待更新｜规则待确认"
