id,city,type,parent_id,name,alias,address,positioning,music,crowd,price_range,dancefloor,social,newbie_friendly,lgbt_friendly,photo_friendly,best_for,not_for,first_visit_tip,last_verified,confidence,status
"sh-abyss","上海","venue","","ABYSS Shanghai","ABYSS / Aby'ss","TX淮海地下层","地下电子音乐与Rave场","Hard Techno / Hard Dance / 重型电子","电子乐与Rave玩家","按活动变化","强","中","中低","待亲测","强","锐舞玩家、喜欢硬核电子乐和连续跳舞的人","偏好流行热歌、怕闷热拥挤","先看当晚Line-up；提前在小程序买票通常更便宜，但热门场次会售罄","2026-07-21","高","已有公开底稿，待亲测校正"
"sh-kan","上海","venue","","坎 KAN·嘻哈现场","砍 / 坎 / KAN","茂名南路56号","小型嘻哈现场与社交场","Hip-hop / Trap / R&B","年轻嘻哈客群","待核实","中高","高","中","待亲测","中","喜欢嘻哈、近距离互动；抓手指的人较多","纯电子乐玩家、热衷蹦迪的人","确认当晚演出和订台规则","2026-07-21","中","名称已初步核对，待亲测校正"
"sh-orii","上海","venue","","ORii Hub","ORII CLUB","淮海中路566/570号二楼，门牌待核实","K-pop与Hip-hop商业舞池场","K-pop / Hip-hop / Pop / Dance Music","年轻、社交型客群","待核实","高，弹簧舞池","高","中高","待亲测","高","喜欢熟悉歌曲、社交和跳舞","怕拥挤的人","先确认主题夜和入场规则","2026-07-21","中高","正式名称和门牌待核实"
"sh-max","上海","venue","","MAX Shanghai","MAX CLUB","淮海中路98号2-3楼","大型商业EDM与桌台社交场","EDM / 嘉宾DJ","潮流穿搭、桌台社交客群","中高，待核实","中高","高","中低","待亲测","强","商业大场、嘉宾活动、组队社交","预算有限、只想自由跳舞","确认Dress Code、门票和低消","2026-07-21","高","已有公开底稿，待亲测校正"
"sh-404","上海","venue","","404 Club Not Found","404","上海地址冲突，待官方确认","连锁Micro Club与年轻社交派对","电子音乐为主，按主题变化","年轻、互动和社交型客群","待核实","中","高","待亲测","待亲测","中高","小体量互动、主题派对","追求大场舞美、怕拥挤","地址和营业状态确认后再发布","2026-07-21","中低","地址冲突，暂不公开上线"
"sh-ins","上海","venue","","INS Land","INS新乐园 / INS复兴","复兴公园雁荡路109号","7层夜生活综合体，20多个场所","覆盖Hip-hop、EDM、Pop、Techno等","本地玩家、游客、年轻社交客群","按票种和场所变化","多场舞池","高","中高","高","强","第一次探索上海商业夜生活","讨厌人多和复杂动线","先选目标楼层，不要无目的乱逛","2026-07-21","高","父场所资料已建立"
"sh-ins-hush","上海","space","sh-ins","HUSH","","INS 2楼","高人气年轻Hip-hop场","Hip-hop / R&B / Trap / Drill / Rage","年轻、说唱与潮流客群","待核实","强但高峰拥挤","高","中","待亲测","中高","喜欢新说唱和强节奏","怕拥挤、偏好电子乐","避开最晚高峰或先确认人流","2026-07-21","高","已有公开底稿，待亲测校正"
"sh-ins-radi","上海","space","sh-ins","RADi","RADI","INS 3楼F317","时尚视觉与商业电子派对场","EDM / Techno / Deep House / Tech House，按当晚变化","年轻、学生及潮流客群","畅饮票常见，价格待更新","中，空间偏紧","高","中高","待亲测","强","年轻电子派对、畅饮和视觉体验","追求纯地下Techno、怕拥挤","不要只看Techno标签，先查DJ阵容","2026-07-21","中高","曲风需按活动更新"
"sh-ins-culture","上海","space","sh-ins","Culture Club","CULTURE","INS 4楼","Queer与Queer-friendly包容舞池","K-pop / Pop / 复古舞曲，按活动变化","多元、Queer-friendly客群","待核实","强","高","高","高","高","自由跳舞、K-pop和包容氛围","把场所当猎奇打卡点的人","尊重边界和场内文化","2026-07-21","高","已有公开底稿，待亲测校正"
"sh-ins-friends","上海","space","sh-ins","FRiENDS","FRIENDS","INS内，楼层待核实","弱化VIP桌台的开放大舞池","按当晚活动变化","重视参与和群体互动的客群","畅饮模式，价格待核实","强，大舞池","高","高","高","中","自由跳舞、朋友一起参与","只想坐卡座聊天","先确认当晚音乐主题","2026-07-21","中高","楼层和曲风待核实"
"sh-ins-lafin","上海","space","sh-ins","La Fin","LAFIN / LA FIN","INS 6楼","高端精致桌台社交场","Hip-hop / Top 40 / Pop","时尚、卡座和社交客群","中高，待核实","中","强","中低","待亲测","强","有预算的社交局、流行音乐","预算有限、只想自由跳舞","提前确认低消和入场规则","2026-07-21","高","已有公开底稿，待亲测校正"
"sh-ins-oasis","上海","space","sh-ins","OASIS","","INS B1","艺术与数字视觉结合的沉浸主题空间","随主题和活动变化","重视视觉与主题体验的客群","待核实","待核实","中","待亲测","待亲测","强","沉浸式主题、拍照和活动体验","只按固定曲风选店的人","确认升级后营业形态和当晚主题","2026-07-21","中","升级状态和实际玩法待核实"
"hz-nonoboom","杭州","venue","","NONOBOOM","NONOBOOM国大城市广场店","国大城市广场3楼","年轻商业派对与组局场","EDM倾向，稳定曲风待核实","年轻、组局和卡座客群","待核实","中高","高","待亲测","待亲测","强","商业派对、组局和社交","排斥营销、追求纯音乐","先确认营业状态和当晚主题","2026-07-21","中低","营业状态和门店关系待核实"
